device_name	core	die	ram_kb	flash_kb	core_count
STM32C011D6Yx	Cortex-M0plus	DIE443	6	32	1
STM32C011F4Px	Cortex-M0plus	DIE443	6	16	1
STM32C011F4Ux	Cortex-M0plus	DIE443	6	16	1
STM32C011F6Px	Cortex-M0plus	DIE443	6	32	1
STM32C011F6Ux	Cortex-M0plus	DIE443	6	32	1
STM32C011J4Mx	Cortex-M0plus	DIE443	6	16	1
STM32C011J6Mx	Cortex-M0plus	DIE443	6	32	1
STM32C031C4Tx	Cortex-M0plus	DIE453	12	16	1
STM32C031C4Ux	Cortex-M0plus	DIE453	12	16	1
STM32C031C6Tx	Cortex-M0plus	DIE453	12	32	1
STM32C031C6Ux	Cortex-M0plus	DIE453	12	32	1
STM32C031F4Px	Cortex-M0plus	DIE453	12	16	1
STM32C031F6Px	Cortex-M0plus	DIE453	12	32	1
STM32C031G4Ux	Cortex-M0plus	DIE453	12	16	1
STM32C031G6Ux	Cortex-M0plus	DIE453	12	32	1
STM32C031K4Tx	Cortex-M0plus	DIE453	12	16	1
STM32C031K4Ux	Cortex-M0plus	DIE453	12	16	1
STM32C031K6Tx	Cortex-M0plus	DIE453	12	32	1
STM32C031K6Ux	Cortex-M0plus	DIE453	12	32	1
STM32C051C6Tx	Cortex-M0plus	DIE44C	12	32	1
STM32C051C6Ux	Cortex-M0plus	DIE44C	12	32	1
STM32C051C8Tx	Cortex-M0plus	DIE44C	12	64	1
STM32C051C8Ux	Cortex-M0plus	DIE44C	12	64	1
STM32C051D8Yx	Cortex-M0plus	DIE44C	12	64	1
STM32C051F6Px	Cortex-M0plus	DIE44C	12	32	1
STM32C051F8Px	Cortex-M0plus	DIE44C	12	64	1
STM32C051G6Ux	Cortex-M0plus	DIE44C	12	32	1
STM32C051G8Ux	Cortex-M0plus	DIE44C	12	64	1
STM32C051K6Tx	Cortex-M0plus	DIE44C	12	32	1
STM32C051K6Ux	Cortex-M0plus	DIE44C	12	32	1
STM32C051K8Tx	Cortex-M0plus	DIE44C	12	64	1
STM32C071C8Tx	Cortex-M0plus	DIE493	24	64	1
STM32C071C8TxN	Cortex-M0plus	DIE493	24	64	1
STM32C071C8Ux	Cortex-M0plus	DIE493	24	64	1
STM32C071C8UxN	Cortex-M0plus	DIE493	24	64	1
STM32C071CBTx	Cortex-M0plus	DIE493	24	128	1
STM32C071CBTxN	Cortex-M0plus	DIE493	24	128	1
STM32C071CBUx	Cortex-M0plus	DIE493	24	128	1
STM32C071CBUxN	Cortex-M0plus	DIE493	24	128	1
STM32C071F8Px	Cortex-M0plus	DIE493	24	64	1
STM32C071F8PxN	Cortex-M0plus	DIE493	24	64	1
STM32C071FBPx	Cortex-M0plus	DIE493	24	128	1
STM32C071FBPxN	Cortex-M0plus	DIE493	24	128	1
STM32C071FBYx	Cortex-M0plus	DIE493	24	128	1
STM32C071G8Ux	Cortex-M0plus	DIE493	24	64	1
STM32C071G8UxN	Cortex-M0plus	DIE493	24	64	1
STM32C071GBUx	Cortex-M0plus	DIE493	24	128	1
STM32C071GBUxN	Cortex-M0plus	DIE493	24	128	1
STM32C071K8Tx	Cortex-M0plus	DIE493	24	64	1
